id,text,label
1,회의 자료 업데이트 공유,ham
2,회의록 배포: 주간회의,ham
3,출장 계획서 검토 요청 (광주),ham
4,[리마인드] 교육 세션 참석 안내,ham
5,오늘만 특가 50%! 게이밍 키보드 마지막 찬스,spam
6,오전 이슈 대응 상황 공유,ham
7,세금 환급 대상자 확인: 정보 입력 필요,spam
8,[공지] 근로계약서 서명 안내,ham
9,견적서 전달드립니다 (게이밍 키보드),ham
10,[중요] 개인정보 처리방침 업데이트 안내,ham
11,"[긴급] 하나은행 계좌 인증 실패, 서비스 제한 예정",spam
12,휴가 일정 공유 및 인수인계,ham
13,출장 계획서 검토 요청 (용인),ham
14,재택근무 신청 관련 공지,ham
15,오전 이슈 대응 상황 공유,ham
16,루미너스랩 서버 점검 안내 (이번 주 금요일),ham
17,[고객지원팀] 회의 일정 조율 (다음 주 월요일),ham
18,오늘만 특가 80%! 휴대용 보조배터리 마지막 찬스,spam
19,[전략기획] 회의 일정 조율 (모레),ham
20,[중요] 개인정보 처리방침 업데이트 안내,ham
21,[공지] 근로계약서 서명 안내,ham
22,출장 계획서 검토 요청 (부산),ham
23,회의 자료 업데이트 공유,ham
24,업무 공유: 주간 업무 계획서,ham
25,재택근무 신청 관련 공지,ham
26,[중요] 개인정보 처리방침 업데이트 안내,ham
27,[리마인드] 교육 세션 참석 안내,ham
28,에이프릴데이터 서버 점검 안내 (오늘),ham
29,[마케팅팀] 회의 일정 조율 (이번 주 금요일),ham
30,회의록 배포: 주간회의,ham
31,업무 공유: 주간 업무 계획서,ham
32,회의록 배포: 스프린트 킥오프,ham
33,휴가 일정 공유 및 인수인계,ham
34,재택근무 신청 관련 공지,ham
35,[재무관리팀] 회의 일정 조율 (오늘),ham
36,[중요] 개인정보 처리방침 업데이트 안내,ham
37,플래닛테크 서버 점검 안내 (모레),ham
38,결재 요청: INV-23256,ham
39,"[긴급] 하나은행 계좌 인증 실패, 서비스 제한 예정",spam
40,회의 자료 업데이트 공유,ham
41,"신규 서비스 오픈 기념, 3개월 무료 이용권 제공",spam
42,휴면 계정 전환 예정: 로그인 확인 요청,spam
43,[리마인드] 교육 세션 참석 안내,ham
44,축하합니다! 경품 당첨 안내 (무선 이어폰),spam
45,휴가 일정 공유 및 인수인계,ham
46,재택근무 신청 관련 공지,ham
47,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
48,인증코드 [768480] 입력 후 혜택 즉시 수령,spam
49,출장 계획서 검토 요청 (청주),ham
50,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
51,오전 이슈 대응 상황 공유,ham
52,[리마인드] 교육 세션 참석 안내,ham
53,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
54,결제 오류 발생: OD772124 내역 확인 바랍니다,spam
55,휴가 일정 공유 및 인수인계,ham
56,결재 요청: INV-51853,ham
57,플래닛테크 서버 점검 안내 (오늘),ham
58,[회계팀] 회의 일정 조율 (이번 주 금요일),ham
59,영수증 누락 안내: 링크에서 다시 다운로드,spam
60,업무 공유: 주간 업무 계획서,ham
61,에코웍스 서버 점검 안내 (다음 주 월요일),ham
62,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
63,오전 이슈 대응 상황 공유,ham
64,결재 요청: INV-39473,ham
65,오전 이슈 대응 상황 공유,ham
66,[리마인드] 교육 세션 참석 안내,ham
67,출장 계획서 검토 요청 (부산),ham
68,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
69,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
70,결제 오류 발생: OD785436 내역 확인 바랍니다,spam
71,[중요] 계정 보안 경고: 즉시 비밀번호 변경 필요,spam
72,지금 신청하면 90% 즉시 할인! 한정 수량,spam
73,[중요] 개인정보 처리방침 업데이트 안내,ham
74,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
75,[공지] 근로계약서 서명 안내,ham
76,첨부: 1월 매출 보고서 초안,ham
77,[리마인드] 교육 세션 참석 안내,ham
78,휴가 일정 공유 및 인수인계,ham
