index,title,body,label
1,광고) 한정 수량 세일,회원님의 계정에서 비정상적인 로그인 시도가 감지되었습니다. 아래 링크에서 즉시 확인해주세요.,spam
2,광고) 오늘만 반값 이벤트,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
3,무료배송 마지막 기회,귀하께서는 이번 달 행운의 주인공으로 선정되었습니다. 링크를 클릭해 경품을 수령하세요.,spam
4,광고) 한정 수량 세일,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
5,긴급 보안 경고,이메일 확인 후 간단한 절차로 경품을 수령하세요.,spam
6,광고) 신제품 런칭 기념 이벤트,회원님의 계정에서 비정상적인 로그인 시도가 감지되었습니다. 아래 링크에서 즉시 확인해주세요.,spam
7,당첨을 축하드립니다!,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
8,계좌 인증을 완료해주세요,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
9,광고) 다이어트 식단 무료 체험,이메일 확인 후 간단한 절차로 경품을 수령하세요.,spam
10,당첨을 축하드립니다!,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
11,계좌 인증을 완료해주세요,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
12,광고) 신제품 런칭 기념 이벤트,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
13,광고) 지금 가입하면 10만원 적립,이메일 확인 후 간단한 절차로 경품을 수령하세요.,spam
14,광고) 오늘만 반값 이벤트,회원님의 계정에서 비정상적인 로그인 시도가 감지되었습니다. 아래 링크에서 즉시 확인해주세요.,spam
15,투자 수익률 200% 달성,무료 쿠폰이 곧 만료됩니다. 지금 바로 확인하세요.,spam
16,광고) 해외 직구 할인 종료 임박,본 메일은 광고성 정보이므로 수신 거부를 원하시면 여기를 클릭하세요.,spam
17,무료 쿠폰 지급 안내,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
18,광고) 해외 직구 할인 종료 임박,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
19,긴급 보안 경고,무료 쿠폰이 곧 만료됩니다. 지금 바로 확인하세요.,spam
20,광고) 한정 수량 세일,계좌 보안을 위해 즉시 비밀번호를 재설정하시기 바랍니다.,spam
